,Crop,Type,Year,Value
127,paddy,Production,2018-01-01,5610.01
128,paddy,Productivity,2018-01-01,3.76
129,Maize,Area,2018-01-01,956.447
130,Maize,Production,2018-01-01,2713.634756
131,Maize,Productivity,2018-01-01,2.83720347912639
132,Wheat,Area,2018-01-01,703.991689766434
133,Wheat,Production,2018-01-01,2005.6654022989
134,Wheat,Productivity,2018-01-01,2.84899016771679
135,Barley,Area,2018-01-01,24.4085133646602
136,Barley,Production,2018-01-01,30.5496028328599
137,Barley,Productivity,2018-01-01,1.25159621057016
138,Millet,Area,2018-01-01,263.260904840934
139,Millet,Production,2018-01-01,314.225057911523
140,Millet,Productivity,2018-01-01,1.1935880038906
141,Buck Wheat*,Area,2018-01-01,10.3113386736506
142,Buck Wheat*,Production,2018-01-01,11.4641591733842
143,Buck Wheat*,Productivity,2018-01-01,1.1118012448451
144,paddy,Area,2019-01-01,1458.915
145,paddy,Production,2019-01-01,5550.878
146,paddy,Productivity,2019-01-01,3.8
147,Maize,Area,2019-01-01,957.650012980242
148,Maize,Production,2019-01-01,2835.67399051817
149,Maize,Productivity,2019-01-01,2.96107549948592
150,Wheat,Area,2019-01-01,707.505316025701
151,Wheat,Production,2019-01-01,2185.28859655178
152,Wheat,Productivity,2019-01-01,2.92370229393408
153,Barley,Area,2019-01-01,24.4037623584425
154,Barley,Production,2019-01-01,31.1466725105414
155,Barley,Productivity,2019-01-01,1.27630617169021
156,Millet,Area,2019-01-01,262.546700478998
157,Millet,Production,2019-01-01,320.952515510604
158,Millet,Productivity,2019-01-01,1.2224587660978
159,Buck Wheat*,Area,2019-01-01,10.368553832337
160,Buck Wheat*,Production,2019-01-01,11.7235912027729
161,Buck Wheat*,Productivity,2019-01-01,1.13068720984115
162,paddy,Area,2020-01-01,1473.47392
163,paddy,Production,2020-01-01,5621.70970486538
164,paddy,Productivity,2020-01-01,3.81527601443083
165,Maize,Area,2020-01-01,979.775941458529
166,Maize,Production,2020-01-01,2999.73341896623
167,Maize,Productivity,2020-01-01,3.06165245750036
168,Wheat,Area,2020-01-01,711.067
169,Wheat,Production,2020-01-01,2127.276
170,Wheat,Productivity,2020-01-01,2.99166745187162
171,Barley,Area,2020-01-01,21.8617182483326
172,Barley,Production,2020-01-01,29.4333213396886
173,Barley,Productivity,2020-01-01,1.35
174,Millet,Area,2020-01-01,265.401
175,Millet,Production,2020-01-01,326.44323
176,Millet,Productivity,2020-01-01,1.23
177,Buck Wheat*,Area,2020-01-01,13.874731884567
178,Buck Wheat*,Production,2020-01-01,15.9171398351055
179,Buck Wheat*,Productivity,2020-01-01,1.15
180,paddy,Area,2021-01-01,1477.38
181,paddy,Production,2021-01-01,5130.62
182,paddy,Productivity,2021-01-01,3.47
183,Maize,Area,2021-01-01,985.57
184,Maize,Production,2021-01-01,3106.4
185,Maize,Productivity,2021-01-01,3.15
186,Wheat,Area,2021-01-01,716.98
187,Wheat,Production,2021-01-01,2144.57
188,Wheat,Productivity,2021-01-01,2.99
189,Barley,Area,2021-01-01,23.13
190,Barley,Production,2021-01-01,32.16
191,Barley,Productivity,2021-01-01,1.39
192,Millet,Area,2021-01-01,267.07
193,Millet,Production,2021-01-01,339.46
194,Millet,Productivity,2021-01-01,1.27
195,Buck Wheat*,Area,2021-01-01,16.12
196,Buck Wheat*,Production,2021-01-01,19.29
197,Buck Wheat*,Productivity,2021-01-01,1.2
198,paddy,Area,2022-01-01,1447.7894
199,paddy,Production,2022-01-01,5486.47202669122
200,paddy,Productivity,2022-01-01,3.78955117829376
201,Maize,Area,2022-01-01,997.865
202,Maize,Production,2022-01-01,3193.168
203,Maize,Productivity,2022-01-01,3.2
204,Wheat,Area,2022-01-01,711.377
205,Wheat,Production,2022-01-01,2098.56215
206,Wheat,Productivity,2022-01-01,2.95
207,Barley,Area,2022-01-01,22.344
208,Barley,Production,2022-01-01,31.2816
209,Barley,Productivity,2022-01-01,1.4
210,Millet,Area,2022-01-01,275.945
211,Millet,Production,2022-01-01,355.754131490693
212,Millet,Productivity,2022-01-01,1.28922115454418
213,Buck Wheat*,Area,2022-01-01,17.677
214,Buck Wheat*,Production,2022-01-01,21.5723062956877
215,Buck Wheat*,Productivity,2022-01-01,1.22036014570842
216,paddy,Area,2023-01-01,1438.99
217,paddy,Production,2023-01-01,5724.23
218,paddy,Productivity,2023-01-01,3.98
219,Maize,Area,2023-01-01,916.04
220,Maize,Production,2023-01-01,3193.87
221,Maize,Productivity,2023-01-01,3.49
222,Wheat,Area,2023-01-01,681.85
223,Wheat,Production,2023-01-01,2035.56
224,Wheat,Productivity,2023-01-01,2.99
225,Barley,Area,2023-01-01,18.6
226,Barley,Production,2023-01-01,24.93
227,Barley,Productivity,2023-01-01,1.34
228,Millet,Area,2023-01-01,224.94
229,Millet,Production,2023-01-01,300.73
230,Millet,Productivity,2023-01-01,1.34
231,Buck Wheat*,Area,2023-01-01,11.25
232,Buck Wheat*,Production,2023-01-01,14.52
233,Buck Wheat*,Productivity,2023-01-01,1.29
